"Instituto Nacional de Estadística y Geografía",
"Consulta en línea de los precios promedio del INPC ",
"Publicados en el diario oficial de la Federación mensualmente ",
"Fecha de consulta: 21/05/2026 01:05:28",

"Año","Mes","Fecha_Pub_DOF","Clave ciudad","Nombre ciudad","División","Grupo","Clase","Subclase","Clave genérico","Genérico","Consecutivo","Especificación","Precio promedio","Cantidad","Unidad","Estatus"
"2024","12","22/01/2025 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","04 Arroz y cereales preparados","001","Arroz","001","VERDE VALLE, BLANCO, SUPER EXTRA, BOLSA DE 900 G            ","44.44","1","KG    ",""
"2024","12","22/01/2025 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","04 Arroz y cereales preparados","001","Arroz","002","VERDE VALLE, BLANCO, SUPER EXTRA, BOLSA DE 1 KG             ","39","1","KG    ",""
"2024","12","22/01/2025 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","04 Arroz y cereales preparados","001","Arroz","003","SOS, BLANCO, EXTRA, BOLSA DE 1 KG                           ","33","1","KG    ",""
"2024","12","22/01/2025 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","04 Arroz y cereales preparados","001","Arroz","004","MP, BLANCO, SUPER EXTRA, BOLSA DE 900 G                     ","21.67","1","KG    ",""
"2024","12","22/01/2025 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","04 Arroz y cereales preparados","001","Arroz","005","VERDE VALLE, BLANCO, SUPER EXTRA, BOLSA DE 900 G            ","38.78","1","KG    ",""
"2024","12","22/01/2025 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","04 Arroz y cereales preparados","001","Arroz","006","PRECISSIMO, BLANCO, EXTRA LARGO, BOLSA DE 900 G             ","18.22","1","KG    ",""
"2024","12","22/01/2025 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","04 Arroz y cereales preparados","001","Arroz","007","BLANCO, SUPER EXTRA, A GRANEL                               ","25","1","KG    ",""
"2024","12","22/01/2025 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","04 Arroz y cereales preparados","001","Arroz","008","VERDE VALLE, BLANCO, SUPER EXTRA, BOLSA DE 1 KG             ","39","1","KG    ",""
"2024","12","22/01/2025 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","04 Arroz y cereales preparados","001","Arroz","009","VERDE VALLE, BLANCO, SUPER EXTRA, BOLSA DE 900 G            ","41.67","1","KG    ",""
"2024","12","22/01/2025 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","04 Arroz y cereales preparados","001","Arroz","010","BUENA VISTA, BLANCO, SUPER EXTRA, A GRANEL                  ","60","1","KG    ",""
"2024","12","22/01/2025 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","04 Arroz y cereales preparados","001","Arroz","011","MORELOS, BLANCO, EXTRA, BOLSA DE 1 KG                       ","33","1","KG    ",""
"2024","12","22/01/2025 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","04 Arroz y cereales preparados","001","Arroz","012","MORELOS, BLANCO, SUPER EXTRA, BOLSA DE 1 KG                 ","35","1","KG    ",""
"2024","12","22/01/2025 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","04 Arroz y cereales preparados","001","Arroz","013","SINALOA, BLANCO, EXTRA, A GRANEL                            ","19.43","1","KG    ",""
"2024","12","22/01/2025 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","04 Arroz y cereales preparados","001","Arroz","014","LA MERCED, BLANCO, SUPER EXTRA, BOLSA DE 900 G              ","28.47","1","KG    ",""
"2024","12","22/01/2025 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","01 Tortillas y derivados del maíz","002","Botanas elaboradas con cereales","001","ACT II, PALOMITAS, P/MICROONDAS, MANTEQUILLA, 3 SOBRES DE 90","135.19","1","KG    ",""
"2024","12","22/01/2025 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","01 Tortillas y derivados del maíz","002","Botanas elaboradas con cereales","002","DORITOS, FRITURAS, NACHO, DE MAIZ, BOLSA DE 223 G           ","255.61","1","KG    ",""
"2024","12","22/01/2025 12:00:00 a. m.","01","Área Met. de la Cd. de México","1. Alimentos, bebidas y tabaco","1.1. Alimentos","1.1.1. Pan, tortillas y cereales","01 Tortillas y derivados del maíz","002","Botanas elaboradas con cereales","003","OYUKI, FRITURAS, DE TRIGO, CHICHARRON DE HARINA, BOLSA DE 40","250","1","KG    ",""
